text,language
How are you?,English
I am fine,English
What is your name?,English
Where are you going?,English
This is a good day,English
I love programming,English
Machine learning is amazing,English
Artificial intelligence is the future,English
I am learning Python,English
This project is interesting,English
Good morning,English
Good evening,English
Nice to meet you,English
Have a great day,English
See you later,English
I like coffee,English
This is my work,English
He is my friend,English
She is very kind,English
We are students,English
آپ کیسے ہیں؟,Urdu
میں ٹھیک ہوں,Urdu
آپ کہاں جا رہے ہیں؟,Urdu
یہ ایک اچھا دن ہے,Urdu
مجھے پروگرامنگ پسند ہے,Urdu
میں پائتھن سیکھ رہا ہوں,Urdu
یہ میرا کام ہے,Urdu
وہ میرا دوست ہے,Urdu
وہ بہت مہربان ہے,Urdu
ہم طالب علم ہیں,Urdu
آپ کا نام کیا ہے؟,Urdu
مجھے چائے پسند ہے,Urdu
آپ کیسے ہو؟,Urdu
میں گھر جا رہا ہوں,Urdu
یہ بہت خوبصورت ہے,Urdu
مجھے سیکھنا پسند ہے,Urdu
یہ ایک مثال ہے,Urdu
ہم دوست ہیں,Urdu
آپ کہاں رہتے ہیں؟,Urdu
آپ کا دن کیسا رہا؟,Urdu
¿Cómo estás?,Spanish
Estoy bien,Spanish
¿Dónde estás?,Spanish
Este es un buen día,Spanish
Me gusta programar,Spanish
Estoy aprendiendo Python,Spanish
Este proyecto es interesante,Spanish
Buenos días,Spanish
Buenas noches,Spanish
Mucho gusto,Spanish
Nos vemos luego,Spanish
Me gusta el café,Spanish
Este es mi trabajo,Spanish
Él es mi amigo,Spanish
Ella es muy amable,Spanish
Somos estudiantes,Spanish
¿Cuál es tu nombre?,Spanish
Estoy en casa,Spanish
Esto es hermoso,Spanish
Aprender es divertido,Spanish
Comment ça va?,French
Je vais bien,French
Où allez-vous?,French
Ceci est une bonne journée,French
J'aime programmer,French
J'apprends Python,French
Ce projet est intéressant,French
Bonjour,French
Bonsoir,French
Enchanté,French
À plus tard,French
J'aime le café,French
Ceci est mon travail,French
Il est mon ami,French
Elle est très gentille,French
Nous sommes étudiants,French
Quel est ton nom?,French
Je suis à la maison,French
C'est beau,French
Apprendre est amusant,French
Wie geht es dir?,German
Mir geht es gut,German
Wo gehst du hin?,German
Das ist ein guter Tag,German
Ich liebe Programmierung,German
Ich lerne Python,German
Dieses Projekt ist interessant,German
Guten Morgen,German
Guten Abend,German
Freut mich,German
Bis später,German
Ich mag Kaffee,German
Das ist meine Arbeit,German
Er ist mein Freund,German
Sie ist sehr nett,German
Wir sind Studenten,German
Wie heißt du?,German
Ich bin zu Hause,German
Das ist schön,German
Lernen macht Spaß,German
I enjoy coding,English
He likes football,English
She is reading a book,English
We are working together,English
They are playing outside,English
It is raining today,English
This is easy,English
That is difficult,English
I understand this,English
Please help me,English
مجھے کتابیں پڑھنا پسند ہے,Urdu
وہ فٹبال کھیلتا ہے,Urdu
وہ کتاب پڑھ رہی ہے,Urdu
ہم مل کر کام کر رہے ہیں,Urdu
وہ باہر کھیل رہے ہیں,Urdu
آج بارش ہو رہی ہے,Urdu
یہ آسان ہے,Urdu
وہ مشکل ہے,Urdu
میں سمجھ گیا,Urdu
براہ کرم میری مدد کریں,Urdu
Me gusta leer libros,Spanish
Él juega fútbol,Spanish
Ella está leyendo un libro,Spanish
Estamos trabajando juntos,Spanish
Ellos están jugando afuera,Spanish
Está lloviendo hoy,Spanish
Esto es fácil,Spanish
Eso es difícil,Spanish
Entiendo esto,Spanish
Por favor ayúdame,Spanish
J'aime lire des livres,French
Il joue au football,French
Elle lit un livre,French
Nous travaillons ensemble,French
Ils jouent dehors,French
Il pleut aujourd'hui,French
C'est facile,French
C'est difficile,French
Je comprends,French
Aidez-moi s'il vous plaît,French
Ich lese gern Bücher,German
Er spielt Fußball,German
Sie liest ein Buch,German
Wir arbeiten zusammen,German
Sie spielen draußen,German
Heute regnet es,German
Das ist einfach,German
Das ist schwer,German
Ich verstehe,German
Bitte hilf mir,German
